class id file_number color1 color2 color3 color4 color5 breed
15 1 1 skyblue antiquewhite darkslategray black dimgray Ragdoll
15 1 3 silver oldlace black darkslategray dimgray Birman
15 1 5 beige dimgray black darkslategray dimgray Birman
15 1 7 lightsteelblue linen black darkslategray dimgray Birman
15 1 9 skyblue beige black darkslategray dimgray Birman
15 1 11 gainsboro dimgray black darkslategray dimgray Birman
15 1 13 gainsboro dimgray black darkslategray dimgray Birman
15 1 15 skyblue beige black darkslategray dimgray Ragdoll
15 1 17 skyblue linen black darkslategray dimgray Birman
15 1 19 skyblue beige darkslategray black dimgray Ragdoll
15 1 21 skyblue beige darkslategray black dimgray Birman
15 1 23 skyblue linen darkslategray black dimgray Persian
15 1 25 beige dimgray darkslategray dimgray black Birman
15 1 27 gainsboro dimgray darkslategray dimgray black Birman
15 1 29 gainsboro dimgray darkslategray black dimgray Birman
15 1 31 gainsboro darkslategray dimgray dimgray black Ragdoll
15 1 34 gainsboro gray dimgray darkslategray black Persian
15 1 36 gainsboro dimgray darkslategray gray black Birman
15 1 38 beige dimgray darkslategray gray black Persian
15 1 40 beige darkslategray dimgray black dimgray Persian
15 1 42 gainsboro dimgray darkslategray gray black Birman
15 1 44 gainsboro black dimgray gray darkslategray Persian
15 1 46 skyblue linen black darkslategray dimgray Ragdoll
15 1 48 skyblue linen black darkslategray dimgray Birman
15 1 50 skyblue linen black darkslategray dimgray Persian
15 1 52 skyblue beige black darkslategray dimgray Persian
15 1 54 skyblue beige black darkslategray dimgray Persian
15 1 56 skyblue beige black darkslategray dimgray Ragdoll
15 1 58 gainsboro gray dimgray darkslategray black Persian
15 1 60 skyblue linen darkslategray black dimgray Birman
15 1 62 gainsboro dimgray black darkslategray gray Birman
15 1 64 skyblue beige black darkslategray dimgray Persian
15 1 66 beige darkslategray dimgray black dimgray "Maine Coon"
15 1 68 gainsboro darkslategray dimgray dimgray black Persian
15 1 70 skyblue beige darkslategray black dimgray Persian
15 1 72 skyblue beige darkslategray black dimgray Persian
15 1 74 skyblue beige darkslategray black dimgray Persian
15 1 76 gainsboro black darkslategray dimgray dimgray Persian
15 1 78 gainsboro black darkslategray dimgray dimgray Birman
15 1 80 gainsboro black darkslategray dimgray dimgray Ragdoll
15 1 82 skyblue beige black darkslategray dimgray Persian
15 1 84 skyblue beige black darkslategray dimgray Persian
15 1 85 lightblue beige darkslategray black dimgray Persian
15 1 86 gainsboro gray black darkslategray dimgray Birman
15 1 87 gainsboro black darkslategray gray dimgray Birman
15 1 89 gainsboro black gray darkslategray dimgray Birman
15 1 91 gainsboro gray darkslategray black dimgray Persian
15 1 93 darkolivegreen gainsboro black darkslategray dimgray Persian
15 1 95 gainsboro black darkslategray gray dimgray Persian
15 1 97 olivedrab gainsboro black darkslategray gray Ragdoll
15 1 99 olivedrab gainsboro black darkslategray gray Persian
15 1 101 olivedrab gainsboro black darkslategray gray Persian
15 1 103 gainsboro gray darkslategray dimgray black Persian
15 1 105 gainsboro darkslategray black gray dimgray Ragdoll
15 1 107 beige darkslategray gray black dimgray Ragdoll
15 1 109 lavender gray black darkslategray dimgray Persian
15 1 111 gainsboro darkslategray dimgray black gray Persian
15 1 113 gainsboro darkslategray dimgray gray black Persian
15 1 115 beige black darkslategray dimgray gray Birman
15 1 117 beige black darkslategray gray dimgray Persian
15 1 119 beige black darkslategray dimgray gray Birman
15 1 121 skyblue beige black darkslategray dimgray Persian
15 1 123 skyblue linen darkslategray black dimgray Persian
15 1 125 skyblue linen darkslategray black dimgray Persian
15 1 127 skyblue beige black darkslategray dimgray Persian
15 1 129 skyblue beige black darkslategray dimgray Persian
15 1 131 lightskyblue antiquewhite black darkslategray dimgray Birman
15 1 133 lightskyblue beige black darkslategray dimgray Birman
15 1 135 skyblue beige black darkslategray dimgray Persian
15 1 137 skyblue beige black darkslategray dimgray Persian
15 1 139 lightskyblue beige black darkslategray dimgray Persian
15 1 141 skyblue beige black darkslategray dimgray Persian
15 1 143 darkolivegreen gainsboro black darkslategray dimgray Persian
15 1 145 lightskyblue beige black darkslategray dimgray Persian
15 1 147 lightskyblue beige black darkolivegreen dimgray Persian
15 1 149 lightskyblue beige black darkslategray dimgray Persian
15 1 151 skyblue antiquewhite black darkslategray dimgray Persian
15 1 153 gainsboro darkslategray black dimgray gray Persian
15 1 155 skyblue beige black darkslategray dimgray Birman
