class x1 y1 x2 y2 id file_number
15 0.256893 0.320792 0.511993 0.63483 1 1
15 0.68057 0.427361 0.206045 0.20512 2 2
15 0.27086 0.320506 0.539635 0.635315 1 3
15 0.677989 0.427198 0.201035 0.20415 2 4
15 0.278225 0.320074 0.55431 0.63438 1 5
15 0.675314 0.427327 0.197333 0.20401 2 6
15 0.283389 0.319207 0.56556 0.638415 1 7
15 0.672531 0.427713 0.190751 0.204057 2 8
15 0.280875 0.318998 0.559393 0.635675 1 9
15 0.673116 0.428359 0.191375 0.202377 2 10
15 0.280994 0.319715 0.558959 0.63943 1 11
15 0.673136 0.429053 0.191343 0.200472 2 12
15 0.28325 0.319602 0.563283 0.639203 1 13
15 0.672264 0.428782 0.192984 0.201738 2 14
15 0.277431 0.318531 0.552694 0.636107 1 15
15 0.671996 0.429283 0.194754 0.202001 2 16
15 0.275794 0.318354 0.549149 0.635974 1 17
15 0.672219 0.428716 0.195262 0.202868 2 18
15 0.273395 0.320157 0.543354 0.637283 1 19
15 0.670548 0.429458 0.195022 0.201562 2 20
15 0.277371 0.319752 0.552211 0.633033 1 21
15 0.670752 0.429599 0.193601 0.200875 2 22
15 0.283669 0.320426 0.565064 0.634693 1 23
15 0.67145 0.428945 0.193875 0.201057 2 24
15 0.288522 0.320859 0.57445 0.635376 1 25
15 0.673038 0.429096 0.195214 0.20133 2 26
15 0.288652 0.320536 0.574748 0.63511 1 27
15 0.675796 0.429397 0.202009 0.20169 2 28
15 0.285417 0.321285 0.568743 0.637579 1 29
15 0.673897 0.429406 0.205157 0.202422 2 30
15 0.290813 0.319312 0.579692 0.638624 1 31
15 0.678754 0.429664 0.195415 0.201557 2 32
15 0.618542 0.433798 0.314605 0.210645 3 33
15 0.285173 0.320233 0.568439 0.635084 1 34
15 0.672907 0.429347 0.204937 0.201299 2 35
15 0.283191 0.321044 0.564442 0.637481 1 36
15 0.67581 0.428926 0.208102 0.202066 2 37
15 0.289284 0.320243 0.576417 0.634843 1 38
15 0.684112 0.430044 0.211551 0.20068 2 39
15 0.299625 0.320239 0.59651 0.635344 1 40
15 0.691955 0.434185 0.21671 0.192538 2 41
15 0.292329 0.319358 0.582259 0.637245 1 42
15 0.694322 0.435894 0.222672 0.189199 2 43
15 0.290445 0.319912 0.578692 0.639825 1 44
15 0.691895 0.436446 0.218181 0.190661 2 45
15 0.284356 0.319852 0.565434 0.639704 1 46
15 0.686004 0.434738 0.209058 0.194627 2 47
15 0.286287 0.319855 0.569092 0.63971 1 48
15 0.683739 0.433354 0.207035 0.194106 2 49
15 0.287038 0.319958 0.570563 0.639915 1 50
15 0.681784 0.432848 0.204066 0.194786 2 51
15 0.287019 0.319711 0.570801 0.639422 1 52
15 0.682917 0.432551 0.207368 0.195306 2 53
15 0.286695 0.318764 0.571104 0.636149 1 54
15 0.682336 0.432932 0.207439 0.194393 2 55
15 0.28948 0.319488 0.575192 0.638977 1 56
15 0.683333 0.432149 0.207204 0.195997 2 57
15 0.280286 0.320181 0.557159 0.639711 1 58
15 0.681286 0.432974 0.204539 0.194102 2 59
15 0.282072 0.321868 0.561288 0.636822 1 60
15 0.680855 0.432609 0.203704 0.194686 2 61
15 0.290147 0.319579 0.577658 0.633593 1 62
15 0.675033 0.432464 0.192502 0.195228 2 63
15 0.291237 0.31931 0.581275 0.634901 1 64
15 0.665051 0.433405 0.177295 0.196561 2 65
15 0.301529 0.320469 0.600482 0.636237 1 66
15 0.66982 0.432137 0.170455 0.195592 2 67
15 0.303995 0.321079 0.605691 0.636277 1 68
15 0.669733 0.43204 0.16452 0.19566 2 69
15 0.310546 0.321043 0.618997 0.635925 1 70
15 0.668148 0.432136 0.165182 0.196302 2 71
15 0.302153 0.320352 0.602166 0.635311 1 72
15 0.667179 0.431973 0.163408 0.196934 2 73
15 0.304441 0.320701 0.606624 0.635946 1 74
15 0.669335 0.431598 0.163577 0.196402 2 75
15 0.30843 0.320597 0.614749 0.635564 1 76
15 0.671802 0.431023 0.162095 0.196971 2 77
15 0.308369 0.320579 0.614593 0.635582 1 78
15 0.675087 0.430923 0.158127 0.197102 2 79
15 0.30719 0.320477 0.612096 0.635271 1 80
15 0.672603 0.431431 0.165084 0.196329 2 81
15 0.31755 0.320727 0.633132 0.63577 1 82
15 0.672876 0.43058 0.163277 0.199068 2 83
15 0.319896 0.321062 0.638175 0.635998 1 84
15 0.314541 0.320438 0.627401 0.635269 1 85
15 0.315335 0.320177 0.628294 0.636506 1 86
15 0.305537 0.318339 0.610214 0.636678 1 87
15 0.664263 0.432495 0.162564 0.195145 2 88
15 0.298848 0.320035 0.595776 0.639969 1 89
15 0.664042 0.432996 0.167718 0.194195 2 90
15 0.300488 0.318505 0.59964 0.637011 1 91
15 0.662618 0.432947 0.169968 0.194338 2 92
15 0.298355 0.318106 0.595305 0.636212 1 93
15 0.659543 0.43246 0.172314 0.195317 2 94
15 0.298716 0.318677 0.595695 0.637353 1 95
15 0.661017 0.432465 0.175178 0.195426 2 96
15 0.294967 0.319919 0.587467 0.639714 1 97
15 0.661957 0.432853 0.175667 0.194408 2 98
15 0.302517 0.318443 0.604136 0.636886 1 99
15 0.673476 0.431352 0.199896 0.199024 2 100
15 0.297559 0.318712 0.593929 0.637425 1 101
15 0.675119 0.431014 0.20205 0.199665 2 102
15 0.301861 0.318795 0.602641 0.63759 1 103
15 0.684488 0.429855 0.202498 0.201103 2 104
15 0.306767 0.318947 0.612101 0.637895 1 105
15 0.683439 0.429944 0.199269 0.20074 2 106
15 0.302466 0.319865 0.60201 0.637263 1 107
15 0.683635 0.431303 0.200952 0.200133 2 108
15 0.300524 0.319978 0.598241 0.637493 1 109
15 0.685771 0.431023 0.204483 0.198731 2 110
15 0.287899 0.319536 0.574229 0.639071 1 111
15 0.680313 0.430755 0.208099 0.198231 2 112
15 0.2924 0.321222 0.583102 0.637814 1 113
15 0.680926 0.431128 0.209829 0.198734 2 114
15 0.29868 0.320331 0.594588 0.636799 1 115
15 0.681877 0.430304 0.211349 0.199251 2 116
15 0.301098 0.32123 0.599939 0.637769 1 117
15 0.681342 0.430667 0.210172 0.198868 2 118
15 0.296422 0.319794 0.591436 0.636334 1 119
15 0.679748 0.431817 0.206906 0.198636 2 120
15 0.298228 0.319389 0.593608 0.634967 1 121
15 0.67846 0.430615 0.202474 0.198187 2 122
15 0.30756 0.32025 0.612809 0.634676 1 123
15 0.686655 0.433961 0.208221 0.193401 2 124
15 0.304168 0.319725 0.606268 0.635891 1 125
15 0.693321 0.437422 0.219399 0.189836 2 126
15 0.295233 0.319423 0.587934 0.634973 1 127
15 0.693036 0.437559 0.223456 0.188961 2 128
15 0.292732 0.320106 0.58308 0.633426 1 129
15 0.688939 0.435049 0.210306 0.189116 2 130
15 0.294594 0.320262 0.586258 0.640525 1 131
15 0.686815 0.43733 0.208793 0.190244 2 132
15 0.29902 0.320291 0.595073 0.640582 1 133
15 0.687476 0.43712 0.208453 0.189778 2 134
15 0.300694 0.319778 0.599496 0.639555 1 135
15 0.686453 0.437009 0.207413 0.190812 2 136
15 0.299242 0.320288 0.595719 0.640576 1 137
15 0.682153 0.435224 0.198182 0.190027 2 138
15 0.296496 0.320316 0.590202 0.640633 1 139
15 0.681042 0.434909 0.195236 0.190571 2 140
15 0.291927 0.3201 0.581196 0.6402 1 141
15 0.679938 0.434149 0.201125 0.191804 2 142
15 0.291001 0.320283 0.579151 0.640565 1 143
15 0.679659 0.434423 0.199678 0.192352 2 144
15 0.291033 0.320168 0.578987 0.640337 1 145
15 0.679746 0.43395 0.199303 0.192874 2 146
15 0.296674 0.32023 0.590529 0.640459 1 147
15 0.680735 0.433738 0.202052 0.193007 2 148
15 0.294758 0.32028 0.586624 0.640559 1 149
15 0.678205 0.433851 0.197044 0.192291 2 150
15 0.292659 0.320191 0.582996 0.640381 1 151
15 0.67646 0.433156 0.196535 0.193344 2 152
15 0.289085 0.320221 0.575814 0.640441 1 153
15 0.677044 0.43287 0.195329 0.192966 2 154
15 0.284791 0.320313 0.566672 0.635121 1 155
15 0.672371 0.432898 0.186743 0.192439 2 156
