class id file_number color_1 color_2 color_3 color_4 color_5
15 1 2     
15 1 4     
15 1 5     
15 1 6     
15 1 7     
15 1 8     
15 1 9     
15 1 10     
15 1 11     
15 1 12     
15 1 13 dimgray darkslategray darkslategray rosybrown black
15 1 14 dimgray darkslategray black rosybrown black
15 1 15 dimgray rosybrown darkslategray black black
15 1 16 dimgray rosybrown darkslategray black darkslategray
15 1 17 dimgray rosybrown darkslategray black darkslategray
15 1 18 dimgray rosybrown darkslategray black darkslategray
15 1 19 darkgray dimgray black darkslategray black
15 1 20 darkgray dimgray black darkslategray black
15 1 21 tan dimgray darkslategray black darkslategray
15 1 22 gray tan darkolivegreen darkslategray black
15 1 23 gray silver dimgray darkslategray black
15 1 24 gray silver dimgray darkslategray black
15 1 25 gray lightgray dimgray darkslategray black
15 1 26 gray lightgray dimgray darkslategray black
15 1 27 gray dimgray lightgray darkslategray black
15 1 28 gray dimgray black darkslategray lightgray
15 1 29 darkgray dimgray black darkslategray lightgray
15 1 30 darkgray gray darkolivegreen lightgray black
15 1 31 silver dimgray black darkolivegreen darkgray
15 1 32 dimgray darkolivegreen silver black darkgray
15 1 33 dimgray silver darkolivegreen black darkgray
15 1 34     
15 1 35 gray black darkolivegreen silver darkgray
15 1 36     
15 1 37 darkslategray gray darkolivegreen silver darkgray
15 1 38     
15 1 39 darkslategray dimgray darkgray silver darkslategray
15 1 40 gray black darkgray silver darkslategray
15 1 41 dimgray darkgray silver black darkslategray
15 1 42 dimgray darkgray silver darkslategray black
15 1 43 dimgray silver darkgray darkslategray black
15 1 44 dimgray silver darkgray darkslategray black
15 1 45 gray silver darkslategray darkgray black
15 1 46 dimgray gray darkslategray black silver
15 1 47 darkgray dimgray darkslategray silver black
15 1 48 dimgray gray black darkslategray silver
15 1 49 black dimgray silver darkslategray darkgray
15 1 50 black dimgray lightslategray darkslategray darkgray
15 1 51 dimgray rosybrown silver darkslategray black
15 1 52 gray silver dimgray darkslategray black
15 1 53     
15 1 54 gray silver black dimgray darkslategray
15 1 55     
15 1 56 dimgray darkgray gray darkslategray black
15 1 57     
15 1 58     
15 1 59 black dimgray darkgray darkslategray gray
15 1 60 darkslategray darkslategray dimgray darkgray gray
15 1 61 darkslategray dimgray darkslategray gray darkgray
15 1 62 dimgray darkslategray darkslategray darkgray gray
15 1 63 dimgray black darkgray darkslategray gray
15 1 64 dimgray black silver gray darkslategray
