class x1 y1 x2 y2 id file_number
15 0.619131 0.384295 0.272745 0.444168 2 197
15 0.400483 0.319352 0.298122 0.638704 2 219
15 0.532665 0.371879 0.37264 0.373921 2 229
15 0.479928 0.42323 0.659957 0.587352 2 269
15 0.448728 0.289358 0.229365 0.497737 2 276
15 0.679309 0.427362 0.203463 0.204435 2 400
15 0.676465 0.42706 0.198025 0.204488 2 402
15 0.672567 0.427614 0.190181 0.203964 2 404
15 0.673309 0.427701 0.192063 0.203397 2 406
15 0.673167 0.429131 0.194188 0.200542 2 408
15 0.671231 0.428718 0.190506 0.201542 2 410
15 0.670971 0.429083 0.193054 0.201421 2 412
15 0.668962 0.428548 0.189258 0.202468 2 414
15 0.671347 0.428917 0.195023 0.202098 2 416
15 0.670303 0.429517 0.193893 0.200725 2 418
15 0.670794 0.429361 0.194972 0.200706 2 420
15 0.670695 0.429036 0.193495 0.20134 2 422
15 0.676136 0.429399 0.199794 0.201676 2 424
15 0.679025 0.429114 0.196626 0.20222 2 426
15 0.679786 0.429647 0.192089 0.201724 2 428
15 0.676095 0.42909 0.203518 0.201725 2 430
15 0.677019 0.429279 0.203325 0.202427 2 432
15 0.682362 0.42946 0.206146 0.202156 2 434
15 0.689542 0.433119 0.216116 0.195092 2 436
15 0.694157 0.435667 0.222355 0.189537 2 438
15 0.692689 0.435745 0.220842 0.189221 2 440
15 0.687758 0.434071 0.210431 0.192513 2 442
15 0.684625 0.433331 0.209603 0.194097 2 444
15 0.682502 0.432666 0.204779 0.19525 2 446
15 0.683308 0.432524 0.206909 0.195462 2 448
15 0.681895 0.432701 0.206964 0.19506 2 450
15 0.683111 0.432181 0.20765 0.196645 2 452
15 0.683191 0.432453 0.20747 0.198119 2 454
