class id file_number color1 color2 color3 color4 color5 breed
15 2 197      Siamese
15 2 219 lightslategray darkslategray black dimgray dimgray Bengal
15 2 229 darkgray gray darkslategray darkslategray dimgray "Egyptian Mau"
15 2 269 darkgray darkslategray black gray dimgray Birman
15 2 276 lightslategray black dimgray darkslategray darkslategray Siamese
15 2 400 darkolivegreen gray black darkolivegreen dimgray Persian
15 2 402 darkolivegreen gray black darkolivegreen dimgray Persian
15 2 404 darkolivegreen gray black darkolivegreen dimgray Bengal
15 2 406 darkolivegreen gray black darkolivegreen dimgray "Maine Coon"
15 2 408 darkolivegreen gray black darkolivegreen dimgray "Maine Coon"
15 2 410      "Maine Coon"
15 2 412 darkolivegreen gray black darkolivegreen dimgray "Maine Coon"
15 2 414      "Maine Coon"
15 2 416      "Maine Coon"
15 2 418      "Maine Coon"
15 2 420 darkolivegreen gray black darkolivegreen dimgray "Maine Coon"
15 2 422      Bengal
15 2 424      Bengal
15 2 426 darkseagreen black dimgray darkolivegreen darkolivegreen Bengal
15 2 428      "Maine Coon"
15 2 430 darkolivegreen darkseagreen black darkolivegreen dimgray Bengal
15 2 432      Bengal
15 2 434      "Maine Coon"
15 2 436      "Maine Coon"
15 2 438      "Maine Coon"
15 2 440 darkolivegreen darkseagreen black darkolivegreen dimgray Bengal
15 2 442 darkolivegreen gray black darkolivegreen dimgray "Maine Coon"
15 2 444      "Maine Coon"
15 2 446 darkolivegreen gray black darkolivegreen dimgray "Maine Coon"
15 2 448 darkolivegreen gray black darkolivegreen dimgray Bengal
15 2 450 darkolivegreen gray black darkolivegreen dimgray "Maine Coon"
15 2 452 darkolivegreen gray black darkolivegreen dimgray "Maine Coon"
15 2 454 darkolivegreen gray black darkolivegreen dimgray "Maine Coon"
