class id file_number color1 color2 color3 color4 color5 breed catId_1 catId_2
15 1 1 azure gray darkolivegreen black darkgray Ragdoll 0.71817577 0.6181398
15 1 3 honeydew darkolivegreen black gray darkgray Birman 0.6977594 0.6629091
15 1 5 whitesmoke darkolivegreen black gray darkgray Birman 0.70035124 0.6696644
15 1 7 lawngreen aliceblue black dimgray darkgray Ragdoll 0.7018211 0.651531
15 1 9 lawngreen aliceblue black dimgray darkgray Ragdoll 0.69311696 0.64577466
15 1 11 lawngreen aliceblue black dimgray darkgray Ragdoll 0.6864756 0.65460706
15 1 13 lawngreen lavender black dimgray darkgray Birman 0.6853374 0.6291217
15 1 15 lawngreen lavender black dimgray darkgray Ragdoll 0.7253745 0.65517896
15 1 17 lawngreen lavender dimgray black darkgray Ragdoll 0.7251257 0.6653074
15 1 19 lightcyan darkolivegreen gray black silver Ragdoll 0.69915783 0.653558
15 1 21 aliceblue darkolivegreen gray black silver Ragdoll 0.6924045 0.6674909
15 1 23 aliceblue darkolivegreen gray black silver Birman 0.7010257 0.66099954
15 1 25 mintcream darkolivegreen gray black silver Birman 0.7037914 0.6576444
15 1 27 mintcream darkolivegreen gray black silver Ragdoll 0.7088689 0.6699084
15 1 29 aliceblue darkolivegreen gray black silver Ragdoll 0.70719695 0.6634137
15 1 31 aliceblue darkolivegreen gray black silver Ragdoll 0.71293277 0.65059566
15 1 34 lightcyan darkolivegreen gray black silver Ragdoll 0.6922566 0.6453625
15 1 36 aliceblue darkolivegreen gray black silver Ragdoll 0.6764715 0.63324755
15 1 38 aliceblue darkolivegreen gray black silver Birman 0.68080246 0.6504683
15 1 40 mintcream darkolivegreen black gray silver Ragdoll 0.6858597 0.65524685
15 1 42 aliceblue darkolivegreen gray black silver Birman 0.6858576 0.6492572
15 1 44 lawngreen lavender darkslategray dimgray darkgray Ragdoll 0.6899849 0.66272426
15 1 46 lawngreen lavender darkslategray dimgray darkgray Persian 0.69213146 0.66175365
15 1 48 lawngreen lavender darkslategray dimgray darkgray Birman 0.68174183 0.66973877
15 1 50 lawngreen lavender dimgray darkslategray darkgray Ragdoll 0.6730398 0.6581736
15 1 52 lawngreen lavender dimgray black darkgray Persian 0.6619687 0.6469178
15 1 54 lawngreen lavender dimgray darkgray black Ragdoll 0.6538271 0.6498753
15 1 56 lawngreen lavender dimgray black darkgray Ragdoll 0.6649071 0.6464855
15 1 58 lawngreen gainsboro dimgray darkgray black Ragdoll 0.6778601 0.63569474
15 1 60 aliceblue darkolivegreen gray black silver Ragdoll 0.67693555 0.6616272
15 1 62 lawngreen lavender dimgray black darkgray Birman 0.6840322 0.6148679
15 1 64 aliceblue darkolivegreen black gray silver Persian 0.71346366 0.64861083
15 1 66 aliceblue darkolivegreen gray black silver Ragdoll 0.6769506 0.61973745
15 1 68 aliceblue darkolivegreen gray black silver Ragdoll 0.6773859 0.6381903
15 1 70 aliceblue darkolivegreen gray black silver Persian 0.7225089 0.65911007
15 1 72 aliceblue darkolivegreen gray black silver Persian 0.7188979 0.6502897
15 1 74 aliceblue darkolivegreen black gray silver Persian 0.7245792 0.6491505
15 1 76 aliceblue black gray darkolivegreen silver Persian 0.7177402 0.6428021
15 1 78 aliceblue black gray darkolivegreen silver Persian 0.7264626 0.6486523
15 1 80 aliceblue black darkolivegreen gray silver Persian 0.69987464 0.6333865
15 1 82 aliceblue black darkolivegreen gray silver Ragdoll 0.68703604 0.6367056
15 1 84 aliceblue black darkolivegreen gray silver Persian 0.69837135 0.66039574
15 1 85 aliceblue darkolivegreen black gray silver Persian 0.71172667 0.63563085
